a 	в (куда)
futuri (FU) 	будущее
galina	цыпленок
game	женить
gania	выиграть
gasi	газ
gastri	желудок
geli	замерзать
gemini	близнец
gene	получать
geo	земля
gina 	женщина
gira 	крутиться
glabro	приглаживание
glacia	лед
glandi (adeno)	гланды
glisa (lapse)	скольжение
glu	палка
gluko	удобный
gluko	приятный
gnata	рот, клюв
gono	угол
gra	трава
gradu	шаг
grafo	писать
grama 	письмо
grandi	великий
gratia	благодарить
gravi 	тяжелый
gravi 	важный
grega	партия
gresi	прогулка пешком
gru	годный
gusta	вкус
guta	капля
have	иметь
hedo	счастливый
hedo	счастье, радостный от
helika	спираль
heliku	винт
hema	кровь
hepa	печень
hetero-co	в противном случае
histori	история
holo	полный
holo	все что-то, целое что-то
homari	омар
homini	человек
homo	похожий
homo-co	так же
horo	час
horo-me	часы
horti 	сад
id	это
idio	индивидуальный
imagina	воображать
imuni	безопасный, сохранный
imuni (alexi)	защитить
in	в
indika 	показывать, означать
industri	промышленность, индустрия
infanti	ребенок
infra	под
insekti	насекомое
insula	остров
iso	одинаковый, такой же
judika 	решать
ju-fe	девушка
justi 	справедливость
juve	молодой
ka-co	следовательно
kade	падать
kafa	кофе
kakao	какао
kali	красивый
kambio	обмен
kampani	колокол
kanali	канал
kancero	краб
kani	собака
kanta	петь
kapila (triko)	волосы
kapitala	капитал
kapsu	пакет, сверток
kapti	ловить
karbo	уголь
karcera	клетка
karcera	тюрьма
kardia	сердце
kargo 	загружать
karis 	креветка
kariti	жалеть
karni 	мясо
karpe 	жатва
karta	карта
kartona	картон
kasea	сыр
kastela	замок
katena	цепь
kauda	хвост
kausa	потому что
kavita	пустота
kefa	голова
kerati	рог, горн
ki 	идти
kine (ki)	идти, ехать
kisti 	пузырь
klasi	класс
klavi	ключ
kleida	запирать на замок
kleisto	содержать в себе, вмещать
klepto	воровать
kli	кровать
klima	погода
klina 	склониться
kloro 	зелень
kloseta	уборная
kloseta	туалет
klu 	даже
klu 	включая
klu-co	даже так
klude	закрывать
ko	с
koano	воротник
ko-co	к тому же
kognati 	отношение
koklea	улитка
kolekti	собирать
koleri	сердитый
komanda	приказ
komika	забавный, смешной
kompani	компания
kompara	сравнивать
kompara	в сравнении
kompeti	состязаться
kon alelo	вместе
koncesio	уступать
konditio	при условии, если
konfekti	джем
konfesi	признавать, исповедоваться
konfusi	сбивать с толку
kongru 	соответствующий, подходящий, годный
koni	конус
Konifera	хвойное дерево
konsola	успокоение
kontinenta	материк
kontra	противоположность
kontra-co	наоборот
kontrola	управление, контроль
kope	весло
kopi	копия
kore	танцевать
korina	дубина
kosmi	мир, вселенная, космос
kotona	хлопок
koxa	бедро?
krania	череп
kratera	бассейн
kredi	верить
kresce	расти
kripto	спрятаться
kriso	золото
Kristonati	Рождество
kritici	критиковать
kroma	цвет
kron 	немедленно, время
kron seri	расписание, график
kruci 	пересекать
krudi	ссадина
kubi	куб
kuko	готовить
kulti	возделывать, развивать
kumbe	ложиться
kumu	куча, груда
kune 	клин
kupra	медь
kura	забота
kurva	гнуть
kuspi	наконечник, острый конец
kutela	нож
la	там
labia 	губа
lakrima	плакать
lakrima	слеза
lakti 	молоко
lamina	простыня
lana 	шерсть
landa	страна
lase	позволять, разрешать
lase kade	капать
latex 	резина
lati 	широкий
latri	поклоняться
latu 	сторона
lauda	восхищаться
lauda	хвалить
lava 	мыть
lega	закон
lekto	читать
lepus 	кролик
leuko	белый
leva	поднятие
levo 	левый
liabili 	ответственный
libe	свободный
libe tem 	выходной, каникулы
libido 	желать
lice	разрешать
liga 	заваязывать что-л., галстук
limita	вязать
limita	предел
limni 	грязь
limno	озеро
line	линия
lingua	язык
linqi	покидать
linu	лен
lipo	жир
liqi	жидкий, ликвидный
lisi	отделять
litera	буква
litera	писать или произносить по буквам
litora	морской берег
litora	лезвие, точить
lofo (kresta)	гребень, увеньчивать
logi 	понимать
logika	доказывать, аргументировать
loka, -lo	место
longi	долгий
lose	терять
luci	очищать
lue	наем
luna	луна
makula	пятно
malea	молоток
mana 	утро
manu	рука
mari	море
marsu	карман
masi	масса
matri 	мать
matura	взрослый
matura	зрелый, взрослый
maxi	самый большой, наиболее
medika	медицинский
mega	большой, много
mekina (ME) 	машина
melano	черный
melodi	звучать
memo 	помнить, вспоминать
menace	грозить
meno 	месяц
merito	зарабатывать
merka	покупать
mero, peci	частица
meso 	средний
metali	металл
metra 	метр
metri-co	to that extent?
metro	настолько
mi	Я, мой, меня
miliona	миллион
milita	бой
mina	мина
mini	наименьший
minus	без, недостаток
minus 	недостаток
minuta	минута
mira	удивление
misili	ракета
mo	один
mo centi	сто
mo kilo	тысяча
mobi	двенадцать
modela	модель
moli	мягкий
momo	одиннадцать
monito	советовать
monstra	показ
monti 	гора
morda	бить
more 	обычно
morta 	смерть
moti	положить, передвинуть
mu	они, их
muci	слизь
multi, poli	много
musika	музыка
musika, soni	играть музыку
muskula	мускул, мышца
muta	менять
na	мы, наш, нас
nari	ноздря
narko	пьяный
nasa	нос
nati	рождение
natio 	народ, нация
natura	природа
navi	лодка
ne	не
ne pre	нет до
nebula	туман
nece	должен
nefo	облако
negotia	бизнес
nekro	разрушать, уничтожать
nekto	плавать
neo	новый
neuro	нерв
nexi	соединять
nima	называть
nivi	снег
no-	противоположности
nodu	узел, бант
no-dura	переставать
no-klu-co	отдельно от того, что я только что сказал
noktu	ночь
noku	повреждать
nona	девять
nona bi	92
nota	заметка
nova	новость
nu	теперь, сейчас
nu fu	скоро
nu pa	только что сделал
nudi (gimno)	голый, обнаженный
nuli (zero)	вообще нет
nuli (zero)	ничего
numera 	счет
Numera mu сосчитай их!	
obe	повиноваться
oceani	океан
ocide	запад
odio	ненавидеть
ofere	предлагать
ofici	служба, контора
ok	восемь
ok de meno-six	восьмое июня
okasio	удобный случай
oku	глаз
olea	масло
oligo	несколько
orange	апельсин, оранжевый
ordina	порядок
ordinari	обычный
organi	орган
orienta 	восток
oski 	качание, колебание
osku	поцелуй
osteo 	кость
ostraka	оболочка
ota	ухо
ova	яйцо
ovis	овца
pa	прошедшее время
pa fu	собирался
pa gene	получить
pa more	привыкший, то что раньше было обычно
paci	мир, покой
paga	платить
pagina	страница
paki	жирный, толстый
paki 	толстый
paleo	старый
pan	хлеб
pan(to)	все, каждый
panika	просо
papira	бумага
para	умножить
para 	около
pardo	прощать
pardo	извинение
parenta	родитель
pasa	проход
patela	чашка, кастрюля
pato	болезнь
patri 	отец
pe	люди, неопредю местоимение
pedi-lo	пол
pektina	расческа
pen	пять
pen bibli	пять книг
pen su ok	5 восьмых
pende 	вешать
pende ex	зависеть от
penite	огорченный
penze	пятьдесят
per 	посредством
per-co	в таком случае
peri 	вокруг
persekuti	преследовать за убеждения
persika	персик
petitio	прошение
piga, glutea	ягодицa
pikro	горький
pikto	картина
pina	перо
pirami	пирамида
piro (busti)	гореть
pirus	груша
piski 	рыб
pisu	горох
pla	риф, выступ
place	пожалуйста
plaka	торт, кекс
planta	растение
plati	плоский
ple	полный, наполнять
plika	сгиб
plu	больше чем один
plu lenti	очки
plu-ci/plu-la	эти/те
plumba (Pb) 	свинец
plus	в дополнение к
plus-co	кроме того
pluto	богатый
po	после
po-co	впоследствии
poda	нога, конеченость
poesi	поэзия
pola	полюс
polica	полиция
polio 	серый
politika	политика
pomo	яблоко
ponti 	мост
popula	народный, популярный
porifera	губка
porta 	дверь
posi	возможно
posi	возможно
posta	почта
posta bileta	почтовая марка
postula	предположение, если
pote	мочь
praxi	практика
pre	перед
preci	цена
prepara 	готовиться
prepara 	готовить
privilegi	право
pro 	благодаря, для
probabili	 вероятный, возможный
profito	иметь успех
profito 	польза
profunda	глубокий
programa	программа
progresi	прогресс
promise 	обещать
proposi 	предлагать
proprie	владеть
prosa	проза
proskeni	сцена
protesta	выражать недовольство
proto	начать
proxi	близкий
proxi ne	едва, вряд ли
prunus	слива
psiko 	разум
ptero	крыло
publika	рекламировать, объявлять о чем-то
publika 	оглашать
pude	отвращение
pulsa	толчок
pulvina	подушка?
pumpa	насос
puni 	наказывать
punkta	точка
puri	чистить
pusi	немного
puta	считать
qadra	квадрат
qalita	качество
qantita 	количество
qarto	четверть
Qe	Начинает вопрос на который можно ответить только да или нет
qestio	задвать вопрос
qestio	вопрос
qestio se	спрашивать себя
Qo freqe?	Как часто?
Qo metri?	Как много?
Qo numera?	Сколько?
Qo?	Что/Какой/Который?
qo?	который?
Qo-ka?	Почему?
Qo-lo?	Где?
Qo-mode или Komo	Как?
Qo-pe?	Кто?
Qo-ra?	Какой предмет?
Qo-te?	Зачем?
ra	вещь, предмет
rabi	сумасшедший
racia 	раса
radi	корень
radia	расходиться из центра подобно радиусам
raila 	рельс
rami	ветвь
ratio 	оценивать
ratus 	крыса
razo	брить, скболить
reakti	reakt?
reali	действительный
recesi	делать углубление?
regi	правитель
registra	записывать
rekti	прямая линия
relativi	относительность
religio 	религия
religio-do	цурковь
rena	почка
repara	чинить вылечивать
repara 	вылечивать, исправлять
reproduce	воспроизводить
repti	ползать
resista 	сопротивляться
respekta	уважение
responde	ответ
resta	остаток
reti(?)	сеть
retiera	пайщик
retro	тому назад
retro	обратно
ridi	смеяться
rigi	жесткий
risko	опасность
risko	риск
rondo	круг
rota 	колесо
rubi 	красный
rugo 	неровность
rura	сельская местность
sadi	жестокий
sagita	стрела, стрелка
saka	мешок, сумка
sali	соль
salmo 	лосось
salti 	прыжок
saluta	приветствовать
sani	здоровый
sapo	мыло
sapro	гниение, распад
sati	достаточное количество
se	сам
secretari	секретарь
sedi	сидеть
seiso	трясти
seiso	дрожь
seka	резать
sekali	рожь
sekunda 	секунда, второй
selaci	акула
sema	знак, символ
sensi	ощущать
seqe	следовательно, поэтому, в результате
seqe	следовать
seri	список, ряд, серия
servi	служить
seti	семь
severi	строгий
sibila	свистеть
signifi	означать
sika	сухой
sili	песок
singu	каждый
singu pe habe bi	у каждого по два
siringi	свистеть
sistema 	метод
sito	пища
six	шесть
skala	ступеньки
skana	просматривать, сканировать
skapa 	плечо
skeleto	скелет, остов
skema	план
ski	знать
skience	наука
skizo	треск
skizo	рвать
sklero	твердый
sko	обучение
skope	смотреть на
skoto (no-foto)	темнота
skuta 	ширма, экран
so	итак
sofi	умный
sola (helio)	солнце
solemni	торжественный
solidi (stereo)	пространственный?
solo	единственный, только
solutio	решение (задачи, вопроса)
somni	спать
sorori	сестра
space	пространство
spatula	ложка
spe	надеяться
speci	вид чего-л.
spektra	радуга
spekula	зеркало
spende	тратить
sperma	семя
spira	дышать
spiritu	дух
splendi	светить
spora	разбрасывать
sporta	игра
sporta (ludo)	играть
sta	стоять
stagna	пруд
stana, St	олово
stato	страна
stego 	крыша, потолок
steno	узкая часть
sti	причина
sti	стимулировать
sti	включать
stilo	ручка
sto	остановка
sto	выключать
stoma 	рот
strata	слой
stria	полоса
stude	изучение
su (SUpra) над	
su facia	поверхность
sub ridi	улыбаться
suberi	пробка
subito	внезапно
sudo	пот
sue	шить
suge	сосать
sui	свинья
sukro-ma	сахар
suku	сок
sulfi	сера?
sume	поднимать
sume 	брать, взять
supa	суп
sura	уверенный
taba	доска,стол
taeni	лента, шнур
tako 	быстрый, скорый
tange	прикосновение
tardi 	поздний
tasa	чаша
tea	чай
teatra	театр
tegu, vesti	покрывать
teka	коробка
tekno	строить
tekno 	искусство
tele (dista)	далекий
teli	сосок
tem	в течение
tem dona	давать взаймы
tem gene	заимствовать на время
tema, topika	темя
tem-co	тем временем
tena	хранить, держать
tende	намеренный, умышленный
tende	намерение
tende (-te)	намереваться
tensio	вытягивание
tenta	пытаться
tenu 	тонкий
teo	бог
tera	земля, почва
tera	почва, земля
terapi	удовольствие
termo 	жара, теплый
tesi 	свидетельство
testa	пиджак
tet	четыре
tipo 	печать
toga	плащ
tolera	терпение
topo	пятно
toraki	ящик
toxi	яд
trakto (tira)	тянуть
trans	сквозь
trauma	удар, шок
tri	три
tri kron	три раза
tri para tet	3x4=12
tritikum	пшеница
tro	слишком
tropi	поворот, изгиб
tu	ты
tubi	труба
tunela	тоннель
tunika	платье
tura	башня
turba	беспокоить
u bi	пара
u bibli pen	пятая книга
u, un	артикль, обозначающий ед. число
u-ci	этот
u-la	тот
ultima	последний
ultra	сверх
umbra 	заслонять от света
unda 	волна
unio	встречать
universita 	университет
unki	крюк
unugua	коготь, копыто ungua
urani 	небо
urba	город
urina	мочиться
uterus	матка, лоно
uti	использование
vaga 	бродить, странствие
vagona	машина, вагок
vaku	пустой
vali 	долина
valu 	ценность
valuta	деньги
valva	пробка, клапан
vapo	пар
vekto 	рычаг
veli	парус
vendo	продавать
veni	приходить
venti	ветер
verba	слово
veri	правильный, верный, точный
veri 	верный, исинный
verifi	проверять
versi	назад к началу
vespera 	вечер
vesti	одевать
vi	вы, ваш
via	дорога
viagia	путешествие
vice	вместо
vide	видеть
vigi	будить
vikto	победа
vini 	вино
viole	нападение
visita	посещение
vista	видимый
vitri	стекло
voka 	голос
vola (peti)	полет
volu	хотеть
vora	есть
vulne	сушить на ветру
xeno	иностранный
ze	зеро, ноль
zigo (juga) 	присоединять
zona, -zo	пояс, зона
